Rk,Player,Tm,Season PPG,Last 5 PPG,Last 10 PPG,Opp DR,Season MP,Projected MP Today,Today's Points,,,,,,,,,,,,,,,,,,,
244,Aaron Holiday,PHO,6.3,5.2,4.7,114.8,16.2,16.9,10,,,,,,,,,,,,,,,,,,,
406,Aaron Nesmith,BOS,3.8,6,6.4,108.9,11,11,5,,,,,,,,,,,,,,,,,,,
492,Admiral Schofield,ORL,3.8,7,6.1,108.4,12.3,20.6,8,,,,,,,,,,,,,,,,,,,
250,Al Horford,BOS,10.2,14.3,10.7,108.9,29.1,29.1,13,,,,,,,,,,,,,,,,,,,
85,Alec Burks,NYK,11.7,14,15.6,109.9,28.6,28.6,10,,,,,,,,,,,,,,,,,,,
497,Alperen Şengün,HOU,9.6,13.5,13.9,113.7,20.7,29.6,9,,,,,,,,,,,,,,,,,,,
109,Amir Coffey,LAC,9,13.8,9.8,111.7,22.7,26.1,35,,,,,,,,,,,,,,,,,,,
150,Andre Drummond,BRK,7.9,11.4,12.3,115.5,19.7,19.7,20,,,,,,,,,,,,,,,,,,,
156,Anthony Edwards,MIN,21.3,25.2,22.4,113.2,34.3,34.3,8,,,,,,,,,,,,,,,,,,,
193,Anthony Gill,WAS,4.1,6.5,6.4,113.1,10.5,16.6,9,,,,,,,,,,,,,,,,,,,
70,Armoni Brooks,TOR,5.3,1.7,2.8,110.2,15.6,14.8,3,,,,,,,,,,,,,,,,,,,
468,Austin Reaves,LAL,7.3,18,10.3,111.5,23.2,25.5,31,,,,,,,,,,,,,,,,,,,
475,Austin Rivers,DEN,6,4.8,4.5,112.8,22.1,22.6,7,,,,,,,,,,,,,,,,,,,
143,Ayo Dosunmu,CHI,8.8,13.8,10.6,111,27.4,38.1,26,,,,,,,,,,,,,,,,,,,
373,Ben McLemore,POR,10.2,14.4,15.4,110,20.1,20.1,13,,,,,,,,,,,,,,,,,,,
50,Bismack Biyombo,PHO,5.8,8.8,5.6,114.8,14.1,25.6,14,,,,,,,,,,,,,,,,,,,
54,Bogdan Bogdanović,ATL,15.1,16.8,17.4,116.4,29.3,29.3,14,,,,,,,,,,,,,,,,,,,
261,Bones Hyland,DEN,10.1,12.8,14.1,112.8,19,17.1,17,,,,,,,,,,,,,,,,,,,
60,Brandon Boston Jr.,LAC,6.7,18,12,111.7,14.9,16.3,18,,,,,,,,,,,,,,,,,,,
584,Brandon Williams,POR,12.9,7.3,10.9,110,26.7,26.7,10,,,,,,,,,,,,,,,,,,,
305,Braxton Key,DET,7.2,10.6,8.6,110.2,17.9,17.9,12,,,,,,,,,,,,,,,,,,,
72,Bruce Brown,BRK,9,14.8,14.2,115.5,24.6,24.6,21,,,,,,,,,,,,,,,,,,,
171,Bryn Forbes,DEN,8.8,13,5.8,112.8,17.1,25,24,,,,,,,,,,,,,,,,,,,
237,Buddy Hield,IND,15.6,16.6,17.9,112.3,30.9,35.6,21,,,,,,,,,,,,,,,,,,,
534,Cam Thomas,BRK,8.5,4.8,4.3,115.5,17.6,17.6,6,,,,,,,,,,,,,,,,,,,
281,Cameron Johnson,PHO,12.5,10.2,8.7,114.8,26.2,33,12,,,,,,,,,,,,,,,,,,,
329,Caris LeVert,CLE,17,14,14.7,111.1,30.7,30.7,6,,,,,,,,,,,,,,,,,,,
430,Cedi Osman,CLE,10.7,9.6,9.1,111.1,22.2,22.2,15,,,,,,,,,,,,,,,,,,,
376,Chimezie Metu,SAC,8.9,11,10.2,106.8,21.3,22.6,7,,,,,,,,,,,,,,,,,,,
61,Chris Boucher,TOR,9.4,12,10.9,110.2,21.1,21.1,21,,,,,,,,,,,,,,,,,,,
420,Chuma Okeke,ORL,8.6,11.6,10.4,108.4,25,25,17,,,,,,,,,,,,,,,,,,,
160,CJ Elleby,POR,5.8,9.4,8.7,110,20.2,20.2,12,,,,,,,,,,,,,,,,,,,
93,Clint Capela,ATL,11.1,14.6,13.1,116.4,27.6,27.6,18,,,,,,,,,,,,,,,,,,,
352,Cody Martin,CHA,7.7,7.6,6,113.6,26.3,26.3,5,,,,,,,,,,,,,,,,,,,
308,Corey Kispert,WAS,8.2,12.6,12.2,113.1,23.4,31.5,20,,,,,,,,,,,,,,,,,,,
19,D.J. Augustin,LAL,5.3,2.4,4.3,111.5,16.1,20.3,2,,,,,,,,,,,,,,,,,,,
292,Damian Jones,SAC,8.1,17.4,16.6,106.8,18.2,18.9,19,,,,,,,,,,,,,,,,,,,
326,Damion Lee,GSW,7.4,7,7.9,112,19.9,23.7,11,,,,,,,,,,,,,,,,,,,
181,Daniel Gafford,WAS,9.4,13.4,11.4,113.1,20.1,20.6,13,,,,,,,,,,,,,,,,,,,
532,Daniel Theis,BOS,8.2,12.8,11.6,108.9,20.8,20.8,11,,,,,,,,,,,,,,,,,,,
182,Danilo Gallinari,ATL,11.7,18.5,17.2,116.4,25.3,25.3,26,,,,,,,,,,,,,,,,,,,
252,Danuel House Jr.,UTA,5.9,8.6,8,116.3,17.3,16.5,7,,,,,,,,,,,,,,,,,,,
184,Darius Garland,CLE,21.7,23.2,23,111.1,35.7,35.7,11,,,,,,,,,,,,,,,,,,,
416,David Nwaba,HOU,5.1,2,2,113.7,13.2,13.2,2,,,,,,,,,,,,,,,,,,,
382,Davion Mitchell,SAC,11.5,15,19.5,106.8,27.7,36.6,18,,,,,,,,,,,,,,,,,,,
45,Dāvis Bertāns,DAL,5.6,5.8,6.5,111.7,14.4,14.4,8,,,,,,,,,,,,,,,,,,,
470,Davon Reed,DEN,4.4,6,4.6,112.8,13.9,16.7,14,,,,,,,,,,,,,,,,,,,
259,De'Andre Hunter,ATL,13.4,13.8,13.2,116.4,29.8,29.8,22,,,,,,,,,,,,,,,,,,,
374,De'Anthony Melton,MEM,10.8,13,16.8,106.2,22.7,23.1,14,,,,,,,,,,,,,,,,,,,
300,DeAndre Jordan,PHI,4.3,6.7,5.1,113.3,13,24,8,,,,,,,,,,,,,,,,,,,
400,Dejounte Murray,SAS,21.1,17,25.2,109.1,34.8,34.8,17,,,,,,,,,,,,,,,,,,,
597,Delon Wright,ATL,4.4,3.6,4.8,116.4,18.9,18.9,2,,,,,,,,,,,,,,,,,,,
118,DeMarcus Cousins,DEN,9,7.8,8.1,112.8,15,17.6,17,,,,,,,,,,,,,,,,,,,
20,Deni Avdija,WAS,8.4,11.8,13,113.1,24.2,29.2,12,,,,,,,,,,,,,,,,,,,
293,Derrick Jones Jr.,CHI,5.6,6.8,6,111,17.6,22.6,12,,,,,,,,,,,,,,,,,,,
578,Derrick White,BOS,13.2,13.4,13.4,108.9,29.3,29.3,8,,,,,,,,,,,,,,,,,,,
555,Devin Vassell,SAS,12.3,15.3,15.9,109.1,27.3,27.3,15,,,,,,,,,,,,,,,,,,,
140,Donte DiVincenzo,SAC,9,13.2,12.6,106.8,24,24,19,,,,,,,,,,,,,,,,,,,
168,Dorian Finney-Smith,DAL,11,12.6,12.8,111.7,33.1,33.1,16,,,,,,,,,,,,,,,,,,,
204,Draymond Green,GSW,7.5,9,8,112,28.9,28.9,7,,,,,,,,,,,,,,,,,,,
568,Duane Washington Jr.,IND,9.9,13.2,10.8,112.3,20.2,20.2,18,,,,,,,,,,,,,,,,,,,
476,Duncan Robinson,MIA,10.9,9.2,8.5,112.1,25.9,26.5,9,,,,,,,,,,,,,,,,,,,
457,Dwight Powell,DAL,8.7,13.8,12.8,111.7,21.9,21.9,12,,,,,,,,,,,,,,,,,,,
440,Elfrid Payton,PHO,3,4,3,114.8,11,8.6,2,,,,,,,,,,,,,,,,,,,
257,Elijah Hughes,UTA,3.5,4.8,4.3,116.3,12.1,12.1,4,,,,,,,,,,,,,,,,,,,
437,Eric Paschall,UTA,5.8,5,6.3,116.3,12.7,17,7,,,,,,,,,,,,,,,,,,,
